model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
vidar,V-B7,50,0.4845554828643799,0.003559212666004896,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B7,75,0.47904714941978455,0.005242479033768177,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B7,100,0.4691353440284729,0.005636540707200766,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B14,0,0.5044717192649841,0.00811660848557949,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B14,25,0.5547020435333252,0.007394406478852034,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B14,50,0.5310052037239075,0.007364003453403711,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B14,75,0.5175302624702454,0.007389916107058525,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B14,100,0.47298362851142883,0.005130812060087919,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B21,0,0.5081312656402588,0.018923383206129074,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B21,25,0.5103665590286255,0.012346593663096428,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B21,50,0.500312864780426,0.01013648696243763,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B21,75,0.48756739497184753,0.00930695328861475,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B21,100,0.47517484426498413,0.00837548915296793,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B29,0,0.4869619905948639,0.002295883372426033,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B29,25,0.48968392610549927,0.0015270037110894918,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B29,50,0.489231675863266,0.0014186667976900935,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B29,75,0.48065945506095886,0.0017558339750394225,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B29,100,0.47420912981033325,0.00466168113052845,480,480,0.013248042482882739,0.003952495712684199
vidar,V-Norm,0,0.48709043860435486,0.0022037848830223083,480,480,0.013248042482882739,0.003952495712684199
vidar,V-Norm,25,0.4914926290512085,0.0014743880601599813,480,480,0.013248042482882739,0.003952495712684199
vidar,V-Norm,50,0.4910770356655121,0.0013758146669715643,480,480,0.013248042482882739,0.003952495712684199
