model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
abot-m0-robotwin2,V-B14,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,110,0.017990,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,150,0.023834,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,150,0.047663,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,150,0.020017,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,220,0.027484,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,220,0.058182,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,220,0.021584,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,1,0.006013,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,1,0.014447,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,1,0.007721,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,3,0.005893,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,3,0.014520,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,3,0.007869,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,7,0.006306,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,7,0.015026,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,7,0.007842,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,15,0.006494,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,15,0.016987,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,15,0.009302,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,25,0.008397,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,25,0.019117,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,25,0.010308,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,40,0.009291,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,40,0.022583,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,40,0.011812,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,75,0.011869,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,75,0.031587,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,75,0.014549,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,110,0.014678,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,110,0.037826,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,110,0.016253,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,150,0.017865,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,150,0.043232,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,150,0.018714,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B21,,220,0.020127,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B21,,220,0.053632,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B21,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-B21,,220,0.019945,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,1,0.005377,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,1,0.015820,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,1,0.005653,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,3,0.005509,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,3,0.016086,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,3,0.005581,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,7,0.005541,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,7,0.017068,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,7,0.005457,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,15,0.006240,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,15,0.019155,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,15,0.006598,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,25,0.007771,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,25,0.021565,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,25,0.007439,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,40,0.008518,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,40,0.024842,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,40,0.008103,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,75,0.010000,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,75,0.034220,88.7,87.0,87.85
