model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.021954,0.0216
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.022804,0.02225
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.026239,0.024467
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.02907,0.026533
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036359,0.031517
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.048302,0.039683
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.061094,0.047383
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.072267,0.054067
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.086066,0.062683
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022656,0.02165
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.022307,0.021717
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023533,0.022383
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.02681,0.0244
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.029653,0.026483
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.035603,0.031183
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.047436,0.039767
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.061449,0.0477
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.072401,0.05425
vjepa2-1-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.0862,0.063183
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.023179,0.022233
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.022988,0.022333
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023996,0.0231
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.027197,0.025217
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030242,0.02745
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036329,0.03235
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049167,0.040933
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.062177,0.049083
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.073148,0.056
vjepa2-1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.087293,0.065
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02319,0.022067
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023274,0.022333
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.024499,0.022717
